"","Synergistetes","Cyanobacteria","Fusobacteria","BRC1","Verrucomicrobia","Chlamydiae","Spirochaetes","TM6","[Thermi]","Nitrospirae","Acidobacteria","Proteobacteria","Chlorobi","Deferribacteres","Gemmatimonadetes","Planctomycetes","WPS-2","Aquificae","TM7","Armatimonadetes","Chloroflexi","FBP","Actinobacteria","Crenarchaeota","Euryarchaeota","Tenericutes","GN02","OP11","SR1","Bacteroidetes","Firmicutes"
"AD1",0,0.000869313242538395,0.0226021443059983,0,0.000434656621269197,0,0,0,0,0,0.000579542161692263,0.273109243697479,0,0,0,0.000289771080846132,0,0,0,0,0,0,0.030860620110113,0,0,0,0.00651984931903796,0,0.0354969574036511,0.13184584178499,0.495653433787308
"AD10",0,0.0026567481402763,0.00159404888416578,0,0,0,0,0,0,0,0,0.270988310308183,0,0,0,0,0,0,0,0,0,0,0.0903294367693943,0,0,0,0,0,0,0.00903294367693943,0.625398512221041
"AD11",0,0,0,0,0,0,0,0,0,0,0,0.3008,0,0,0,0,0,0,0,0,0,0,0.0856,0,0,0,0,0,0,0.0424,0.5712
"AD12",0,0.0314625850340136,0.0038265306122449,0,0,0,0,0,0,0,0,0.12202380952381,0,0,0,0,0,0,0,0,0,0,0.142006802721088,0,0,0,0,0,0,0.00722789115646258,0.693452380952381
"AD13",0,0,0,0,0,0,0,0,0,0,0,0.384266606211743,0,0,0,0,0,0,0,0,0.00136023577420086,0,0.0709589662208116,0,0,0,0,0,0,0.0569031965540694,0.486510995239175
"AD14",0,0.0485527544351074,0.00746965452847806,0,0,0,0,0,0,0,0,0.124183006535948,0,0,0,0,0,0,0,0,0,0,0.0326797385620915,0,0,0.00373482726423903,0,0,0,0.0336134453781513,0.749766573295985
"AD15",0,0,0,0,0,0,0,0,0,0,0,0.00958154086820493,0,0,0,0,0,0,0,0,0,0,0.694563942119671,0,0,0,0,0,0,0.00762612436448964,0.288032850997262
"AD16",0,0.000174703004891684,0.00296995108315863,0,0,0,0,0,0,0,0,0.653039832285115,0,0,0,0,0,0,0,0,0,0,0.0623689727463312,0,0,0,0.000524109014675052,0,0,0.003319357092942,0.277428371767994
"AD17",0,0.000525541307546773,0.0356317006516712,0,0.000630649569056128,0,0,0,0.00178684044565903,0,0.000105108261509355,0.304708850115619,0,0,0.000210216523018709,0,0,0,0,0,0.000105108261509355,0,0.100378389741434,0,0,0,0,0,0,0.148623081774227,0.406558755518184
"AD18",0,0,0.00119073392509201,0,0.000108248538644728,0,0,0,0,0,0,0.236523056938731,0,0,0,0,0,0,0,0,0,0,0.0110413509417623,0,0,0,0,0,0,0.207620697120589,0.542758172764668
"AD19",0,0,0.00119617224880383,0,0.000341763499658237,0,0,0,0,0,0,0.107826384142174,0,0,0,0,0,0,0,0,0,0,0.183868762816131,0,0,0,0,0,0,0.00700615174299385,0.698906356801094
"AD2",0,0.00171049818259568,0,0,0,0,0,0,0,0,0,0.0314304041051956,0,0,0,0,0,0,0,0,0,0,0.0560188154800086,0,0,0,0,0.00042762454564892,0,0.0209536027367971,0.889031430404105
"AD20",0,0.00811829515801682,0.00492896491736735,0,0,0,0,0,0,0,0.00144969556393157,0.232531168454625,0,0,0,0,0,0,0,0.0020295737895042,0,0,0.0779936213395187,0,0,0,0,0,0,0.0118875036242389,0.661061177152798
"AD21",0,0.00673584562170035,0.00400509739668669,0,0,0,0,0,0,0,0,0.203713817586019,0,0,0,0,0,0,0,0,0,0,0.0517021663935918,0,0,0,0,0,0,0.009466593846714,0.724376479155289
"AD3",0,0.000364830353885443,0,0,0,0,0,0,0.00547245530828165,0,0,0.302444363371032,0,0,0,0,0,0,0,0,0,0,0.381977380518059,0,0,0,0,0,0,0.0134987230937614,0.295877417001094
"AD4",0,0.000473410130976803,0,0,0,0,0,0,0.000157803376992268,0,0,0.171690074167587,0,0,0,0,0,0,0,0,0,0,0.0380306138551365,0,0,0,0,0,0,0.0785860817421493,0.711062016727158
"AD5",0,0.0019932727046219,0.0208047838544911,0,0,0,0,0,0.000249159088077738,0,0,0.135791703002367,0,0,0,0.000249159088077738,0,0,0,0,0,0,0.159088077737635,0,0,0,0,0,0.000124579544038869,0.0737510900710103,0.605456584028902
"AD6",0,0,0.00284837861524978,0,0,0,0,0,0,0,0,0.0372480280455741,0,0,0,0,0,0,0,0,0,0,0.409509202453988,0,0,0.000438212094653812,0,0,0,0.0324276950043821,0.517528483786152
"AD7",0,0.00260945201507683,0.00376920846622209,0,0.0020295737895042,0,0,0,0,0,0,0.079153377790664,0,0,0,0,0,0,0,0,0,0,0.0507393447376051,0,0,0.00231951290229052,0,0,0,0.0176862858799652,0.841693244418672
"AD8",0,0.0733392382639504,0.0136403897254207,0,0.000177147918511957,0,0,0,0,0,0,0.186005314437555,0,0,0,0.000354295837023915,0,0,0,0,0,0,0.054030115146147,0,0,0,0.000531443755535872,0,0,0.129849424269265,0.541895482728078
"AD9",0,0.0242557883131202,0.00551267916207277,0,0,0,0,0,0,0,0,0.0562293274531422,0,0,0.000735023888276369,0,0,0,0,0,0,0,0.104373392135244,0,0,0,0,0,0,0.0481440646821022,0.760749724366042
"CO1",0,0.000615050259731588,0.0121466854322833,0.000159033078880407,0,0.000727046115496469,0,0,0,0,0.000318066157760814,0.260528878626001,0,0,0,0.000159303313508921,0,0,0.000445006108393744,0,0,0,0.0917186689410417,0,0.000159033078880407,0,0,0,0.000477099236641221,0.0194348645647627,0.612717818876602
"CO10",0,0.00257063917433856,0.00386755948160065,0,0.0260401771810514,0,0.000133761369716426,0,9.96412913511359e-05,0,0,0.113582327847177,0,0,0,0,0,0,0,0,0,0,0.156512539280094,0,0,0.000199282582702272,0,0,0,0.21723253512385,0.479531074719947
"CO11",0,0.032747282904881,0.0138331953924432,0,0.00272205971468814,0,0,0,0.00306891652043223,0,0.00108405603735824,0.225584395209505,0,0,0.000333555703802535,0.000166777851901267,0,0,0,0,0.000514846494230381,0,0.183154329652416,0.000166777851901267,0,0,0,0,0,0.0531702765192003,0.483106754865655
"CO12",0,0.0056490206304486,0.0058257814707315,0,0.00447544820452129,0,4.31406384814495e-05,0,0,0,0.000867625185919683,0.168239464094377,0,0,0,0,0,0,0,0,8.85896527285613e-05,0,0.113613391991933,0,0,0.00108055658722264,0,0,8.85896527285613e-05,0.0984010689901691,0.601454760346813
"CO13",0,0.0260675265494518,0.00122007976691964,0,0.000819476334327565,0,0,0,0.000361769807543288,0,0.000734214390602056,0.105325869025275,0,0,0,0.000146842878120411,0,4.42948263642807e-05,0,0,0,0,0.149071749815264,0,0,0,0,0,0,0.0154240932474325,0.700462202543237
"CO14",0,0.0023177433087964,0.000554003390882823,0,0.0155839997208628,0.000140291806958474,0,0,0.000116958632397828,0,0.000730873098288937,0.0644405155600487,0,0,0,0,0,0,0,5.91016548463357e-05,0,0,0.252354771420021,0,0.000348386542603799,0.000580317001402378,0,0,0.00026875940657923,0.0539887289693309,0.608271832650846
"CO2",0,0.00486426493204826,0.00563992545685431,0,0.0017325485953065,0,0,0,0.00343196486823407,0,0.0036563071297989,0.238768595816092,0,0,0.0038265306122449,0.00387433309704138,0,0,5.09891902916582e-05,0,0,0.000101978380583316,0.119381180839346,0,0,0,0,0,0,0.149784736433139,0.464733677078145
"CO3",0,0.00160292822505479,0.0326653469695264,0,0.00112296840643535,0,0,0,0.00154218481829526,0,6.93673695893452e-05,0.209103096399664,0,0,0,0.000836981715168684,0,0,3.41110656296903e-05,0,0.000128766417718259,0,0.095378340153858,0,0,0,0.00013260534011851,0,0.00109155410015009,0.146929875786357,0.508679651919841
"CO4",0,0.00321359758449946,0.00490936555891239,0,0.00335739741522364,0.000358937544867193,0,0,0,0,0,0.368385383871595,0,0,0,0,0,0,0,0.00256598240469208,0,0,0.101796842791375,0,0,0,0,0,0,0.0771779466934267,0.437157733500807
"CO5",0,0.00164109289996431,0.00108641512281905,0,0.0011371110931869,0,0,0,0.00394564356694858,0,0.000276854928017719,0.405539942025795,0,0,0,0,0.000140076985181972,0,0,0,0,0,0.488718510368129,0,0,9.55840183521315e-05,0,0,0,0.0250126726728544,0.072107116213282
"CO6",0,0.00151029495433737,0.0079307135519652,0,0.000198615367154693,0,0,0,0,0,0.000320567190161041,0.740987978724085,0,0,0,0,0,0,0,0,0,0,0.0548862482170181,0,0,0,0,0,0.000122870249017038,0.0225332971336821,0.171285285594078
"CO7",0,0.0146496808493122,0.021277880646096,0,0.00149287670585388,0,0,0,0.00086164451009355,0,0.000334135257952419,0.331248081106495,0,0,0,0.000145574534161491,0,0,0,0,0,0,0.149884089330912,0,0,0,0,0,0,0.10435988525686,0.374721064457542
"CO8",0.00060634328358209,0.00628609311092122,0.00402269837273144,0,0.0275320972496427,0.000886194029850746,0,0,0.00325405182675579,0,0,0.199002385876746,0,0,0,0,0,0,0,8.50340136054422e-05,0,0,0.166995416261392,0,0.000139925373134328,0.000465618339571919,0,0,0,0.225532643835378,0.363972561976096
"CO9",0,0.00129604674066649,0.0111546030240456,0,0.0256785539647352,0,0,0.00025654181631606,0,0,0.000384812724474089,0.129486227128036,0,0,0,0,0,0,0,0,0,0.000215331610680448,0.178218019322405,0,0,0.0011464666307649,0.000743064729194188,0,0.00027279130071671,0.20793110615237,0.442341173396028
